Unnamed: 0,fecha,estacion,lluvia,Nombre,tmin,tseca,tmax,eva_tan,eva_piche,hum_rel,bri_solar,nub,vel_viento,dir_viento,pre_atmos,tsuelo_5,tsuelo_50,tsuelo_100,Fenomenos/0,Fenomenos/1,Fenomenos/2,Fenomenos/3,Fenomenos/4,Fenomenos/5,Fenomenos/6,Fenomenos/7,Fenomenos/8,Fenomenos/9,Fenomenos/10,rad_solar,Longitud,Latitud,Altitud
3,1/5/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,6,15.3,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
62,1/6/2023,INS010301AT,30.5,SAN_JOSE_PINULA,,,,,,,,5,7.3,360,,,,,0,0,0,0,1,0,0,0,0,1,0,,-90.39191,14.52392,1744
122,1/7/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,5,13.3,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
182,1/8/2023,INS010301AT,1.8,SAN_JOSE_PINULA,,,,,,,,5,13.3,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
241,2/5/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,4,8.7,360,,,,,0,0,0,0,1,0,0,0,0,1,0,,-90.39191,14.52392,1744
300,2/6/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,2,4.7,360,,,,,0,0,0,0,1,0,0,0,0,1,0,,-90.39191,14.52392,1744
360,2/7/2023,INS010301AT,1.5,SAN_JOSE_PINULA,,,,,,,,7,7,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
419,2/8/2023,INS010301AT,26.9,SAN_JOSE_PINULA,,,,,,,,6,11,225,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
478,3/5/2023,INS010301AT,1.5,SAN_JOSE_PINULA,,,,,,,,2,5,315,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
537,3/6/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,4,4.7,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
597,3/7/2023,INS010301AT,0.6,SAN_JOSE_PINULA,,,,,,,,4,7.3,360,,,,,0,0,0,0,1,0,0,0,0,1,0,,-90.39191,14.52392,1744
657,3/8/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,5,11.3,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
716,4/5/2023,INS010301AT,0.1,SAN_JOSE_PINULA,,,,,,,,1,13.3,225,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
775,4/6/2023,INS010301AT,2,SAN_JOSE_PINULA,,,,,,,,5,7.3,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
835,4/7/2023,INS010301AT,70.8,SAN_JOSE_PINULA,,,,,,,,7,4.3,0,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
895,4/8/2023,INS010301AT,9.3,SAN_JOSE_PINULA,,,,,,,,6,11.7,225,,,,,0,0,0,0,1,0,0,0,0,1,0,,-90.39191,14.52392,1744
954,5/5/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,3,15.7,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
1013,5/6/2023,INS010301AT,0.7,SAN_JOSE_PINULA,,,,,,,,2,6.7,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
1073,5/7/2023,INS010301AT,25.2,SAN_JOSE_PINULA,,,,,,,,6,9,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
1133,5/8/2023,INS010301AT,2,SAN_JOSE_PINULA,,,,,,,,3,20,225,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
1192,6/5/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,3,15.3,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
1251,6/6/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,3,5,9,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
1310,6/7/2023,INS010301AT,26.5,SAN_JOSE_PINULA,,,,,,,,5,11.3,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
1370,6/8/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,3,17.7,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
1429,7/5/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,2,20,225,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
1488,7/6/2023,INS010301AT,1.2,SAN_JOSE_PINULA,,,,,,,,7,6.7,360,,,,,0,0,0,0,1,0,0,0,0,1,0,,-90.39191,14.52392,1744
1547,7/7/2023,INS010301AT,1.6,SAN_JOSE_PINULA,,,,,,,,7,11.3,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
1607,7/8/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,2,17.7,225,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
1666,8/5/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,2,15.3,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
1725,8/6/2023,INS010301AT,3.5,SAN_JOSE_PINULA,,,,,,,,5,4.7,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
1785,8/7/2023,INS010301AT,27.9,SAN_JOSE_PINULA,,,,,,,,7,6.7,315,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
1845,8/8/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,3,20,205,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
1904,9/5/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,6,11,360,,,,,0,0,0,0,1,0,0,0,0,1,0,,-90.39191,14.52392,1744
1965,9/6/2023,INS010301AT,14,SAN_JOSE_PINULA,,,,,,,,6,9,360,,,,,0,0,0,0,1,0,0,0,0,1,0,,-90.39191,14.52392,1744
2025,9/7/2023,INS010301AT,0.6,SAN_JOSE_PINULA,,,,,,,,6,7.3,180,,,,,0,0,0,0,1,0,0,0,0,1,0,,-90.39191,14.52392,1744
2084,10/5/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,4,8.7,360,,,,,0,0,0,0,1,0,0,0,0,1,0,,-90.39191,14.52392,1744
2145,10/6/2023,INS010301AT,12.4,SAN_JOSE_PINULA,,,,,,,,4,5.3,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
2205,10/7/2023,INS010301AT,8.4,SAN_JOSE_PINULA,,,,,,,,6,11,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
2264,11/5/2023,INS010301AT,0.1,SAN_JOSE_PINULA,,,,,,,,3,9.3,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
2325,11/6/2023,INS010301AT,1.7,SAN_JOSE_PINULA,,,,,,,,3,9,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
2385,11/7/2023,INS010301AT,5.1,SAN_JOSE_PINULA,,,,,,,,3,17.7,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
2444,12/5/2023,INS010301AT,0.1,SAN_JOSE_PINULA,,,,,,,,4,7.3,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
2504,12/6/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,2,9,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
2564,12/7/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,6,13,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
2623,13/05/2023,INS010301AT,24.5,SAN_JOSE_PINULA,,,,,,,,3,6.7,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
2683,13/06/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,5,11,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
2743,13/07/2023,INS010301AT,27.6,SAN_JOSE_PINULA,,,,,,,,5,17.7,225,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
2804,14/05/2023,INS010301AT,10,SAN_JOSE_PINULA,,,,,,,,4,9,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
2864,14/06/2023,INS010301AT,0.4,SAN_JOSE_PINULA,,,,,,,,5,11,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
2924,14/07/2023,INS010301AT,2.1,SAN_JOSE_PINULA,,,,,,,,3,22.7,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
2984,15/05/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,6,13,180,,,,,0,0,0,0,1,0,0,0,0,1,0,,-90.39191,14.52392,1744
3045,15/06/2023,INS010301AT,6,SAN_JOSE_PINULA,,,,,,,,5,3.7,360,,,,,0,0,0,0,1,0,0,0,0,1,0,,-90.39191,14.52392,1744
3105,15/07/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,6,15.3,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
3166,16/05/2023,INS010301AT,4.4,SAN_JOSE_PINULA,,,,,,,,4,7.3,225,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
3227,16/06/2023,INS010301AT,54.4,SAN_JOSE_PINULA,,,,,,,,3,8.7,315,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
3287,16/07/2023,INS010301AT,7,SAN_JOSE_PINULA,,,,,,,,6,20,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
3349,17/05/2023,INS010301AT,0.1,SAN_JOSE_PINULA,,,,,,,,3,7.3,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
3410,17/06/2023,INS010301AT,0.1,SAN_JOSE_PINULA,,,,,,,,1,17.7,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
3470,17/07/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,1,25.3,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
3532,18/05/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,4,11.3,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
3593,18/06/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,1,17.7,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
3653,18/07/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,2,17.7,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
3714,19/05/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,3,15.3,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
3775,19/06/2023,INS010301AT,0.3,SAN_JOSE_PINULA,,,,,,,,6,9,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
3835,19/07/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,2,25.3,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
3895,20/04/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,6,4.7,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
3953,20/05/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,1,19.3,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
4012,20/06/2023,INS010301AT,19.1,SAN_JOSE_PINULA,,,,,,,,7,6.7,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
4072,20/07/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,4,22.7,180,,,,,0,0,0,0,0,1,0,0,0,1,0,,-90.39191,14.52392,1744
4131,21/04/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,6,6.7,360,,,,,0,0,0,0,1,0,0,0,0,1,0,,-90.39191,14.52392,1744
4189,21/05/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,5,17.7,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
4248,21/06/2023,INS010301AT,39,SAN_JOSE_PINULA,,,,,,,,6,6.7,9,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
4308,21/07/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,4,22.7,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
4367,22/04/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,5,11,360,,,,,0,0,0,0,1,0,0,0,0,1,0,,-90.39191,14.52392,1744
4425,22/05/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,5,13,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
4485,22/06/2023,INS010301AT,30.4,SAN_JOSE_PINULA,,,,,,,,5,4.3,0,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
4545,22/07/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,7,9,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
4604,23/04/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,5,6.7,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
4661,23/05/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,5,9,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
4721,23/06/2023,INS010301AT,17.5,SAN_JOSE_PINULA,,,,,,,,4,6.7,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
4781,23/07/2023,INS010301AT,27.9,SAN_JOSE_PINULA,,,,,,,,7,6.7,9,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
4841,24/04/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,6,4.7,315,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
4897,24/05/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,3,9,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
4957,24/06/2023,INS010301AT,14.5,SAN_JOSE_PINULA,,,,,,,,7,9,315,,,,,0,0,0,0,1,0,0,0,0,1,0,,-90.39191,14.52392,1744
5017,24/07/2023,INS010301AT,26.5,SAN_JOSE_PINULA,,,,,,,,7,11,360,,,,,0,0,0,0,1,0,0,0,0,1,0,,-90.39191,14.52392,1744
5077,25/04/2023,INS010301AT,3.7,SAN_JOSE_PINULA,,,,,,,,4,3,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
5134,25/05/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,4,4.7,9,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
5194,25/06/2023,INS010301AT,0.1,SAN_JOSE_PINULA,,,,,,,,2,15.3,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
5254,25/07/2023,INS010301AT,17.9,SAN_JOSE_PINULA,,,,,,,,3,20,225,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
5314,26/04/2023,INS010301AT,3.3,SAN_JOSE_PINULA,,,,,,,,4,6.7,360,,,,,0,0,0,0,1,0,0,0,0,1,0,,-90.39191,14.52392,1744
5371,26/05/2023,INS010301AT,2,SAN_JOSE_PINULA,,,,,,,,5,5.3,360,,,,,0,0,0,0,1,0,0,0,0,1,0,,-90.39191,14.52392,1744
5431,26/06/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,3,17.7,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
5491,26/07/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,1,28,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
5551,27/04/2023,INS010301AT,0.6,SAN_JOSE_PINULA,,,,,,,,3,8.7,360,,,,,0,0,0,0,1,0,0,0,0,1,0,,-90.39191,14.52392,1744
5609,27/05/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,7,6.7,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
5669,27/06/2023,INS010301AT,0.6,SAN_JOSE_PINULA,,,,,,,,6,11.7,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
5729,27/07/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,1,15.3,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
5788,28/04/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,3,7.3,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
5846,28/05/2023,INS010301AT,0.2,SAN_JOSE_PINULA,,,,,,,,4,11,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
5906,28/06/2023,INS010301AT,46.9,SAN_JOSE_PINULA,,,,,,,,6,9,180,,,,,0,0,0,0,1,0,0,0,0,1,0,,-90.39191,14.52392,1744
5966,28/07/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,3,17.7,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
6025,29/04/2023,INS010301AT,0.1,SAN_JOSE_PINULA,,,,,,,,5,13.3,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
6084,29/05/2023,INS010301AT,29.6,SAN_JOSE_PINULA,,,,,,,,7,4.7,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
6144,29/06/2023,INS010301AT,13.7,SAN_JOSE_PINULA,,,,,,,,7,9,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
6204,29/07/2023,INS010301AT,17.5,SAN_JOSE_PINULA,,,,,,,,8,13.3,225,,,,,0,0,0,0,0,1,0,0,0,0,0,,-90.39191,14.52392,1744
6263,30/04/2023,INS010301AT,4.5,SAN_JOSE_PINULA,,,,,,,,2,17.7,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
6322,30/05/2023,INS010301AT,5.2,SAN_JOSE_PINULA,,,,,,,,6,7,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
6382,30/06/2023,INS010301AT,1.1,SAN_JOSE_PINULA,,,,,,,,4,15.3,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
6442,30/07/2023,INS010301AT,11.1,SAN_JOSE_PINULA,,,,,,,,2,17.7,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
6501,31/05/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,6,8.7,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
6561,31/07/2023,INS010301AT,5.1,SAN_JOSE_PINULA,,,,,,,,2,15.3,225,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
